epoch,LEACH_trial0,LEACH_trial1,LEACH_trial2,LEACH_trial3,LEACH_trial4,LEACH_trial5,LEACH_trial6,LEACH_trial7,LEACH_trial8,LEACH_trial9,LEACH_trial10,LEACH_trial11,LEACH_trial12,LEACH_trial13,LEACH_trial14
140,34.0,20.0,17.0,25.0,25.0,25.0,20.0,28.0,20.0,21.0,21.0,26.0,27.0,26.0,29
141,33.0,18.0,16.0,25.0,24.0,23.0,20.0,28.0,20.0,21.0,21.0,25.0,26.0,25.0,29
142,31.0,17.0,16.0,24.0,24.0,23.0,20.0,27.0,20.0,21.0,21.0,25.0,25.0,25.0,28
143,29.0,17.0,15.0,24.0,23.0,23.0,20.0,27.0,20.0,21.0,21.0,23.0,25.0,25.0,28
144,29.0,17.0,15.0,24.0,23.0,23.0,20.0,27.0,19.0,21.0,21.0,23.0,25.0,25.0,28
145,28.0,16.0,15.0,22.0,23.0,23.0,20.0,27.0,18.0,21.0,21.0,22.0,23.0,25.0,28
146,28.0,16.0,15.0,21.0,23.0,22.0,20.0,26.0,18.0,21.0,20.0,22.0,23.0,23.0,28
147,26.0,15.0,15.0,21.0,23.0,21.0,19.0,26.0,18.0,19.0,20.0,21.0,23.0,22.0,28
148,26.0,15.0,15.0,20.0,22.0,20.0,19.0,26.0,18.0,19.0,18.0,21.0,23.0,22.0,28
149,25.0,15.0,15.0,19.0,22.0,18.0,19.0,25.0,18.0,19.0,18.0,21.0,23.0,22.0,28
150,25.0,15.0,15.0,19.0,22.0,18.0,19.0,25.0,18.0,19.0,17.0,20.0,22.0,21.0,28
151,25.0,15.0,15.0,19.0,22.0,18.0,19.0,25.0,18.0,19.0,16.0,20.0,22.0,20.0,27
152,24.0,15.0,15.0,19.0,22.0,18.0,19.0,25.0,18.0,19.0,16.0,20.0,21.0,20.0,27
153,24.0,15.0,15.0,19.0,22.0,18.0,19.0,25.0,18.0,17.0,16.0,20.0,21.0,20.0,27
154,23.0,15.0,15.0,19.0,22.0,18.0,19.0,24.0,17.0,17.0,16.0,20.0,21.0,20.0,27
155,22.0,15.0,15.0,19.0,21.0,18.0,18.0,23.0,16.0,16.0,15.0,20.0,21.0,20.0,27
156,22.0,15.0,15.0,19.0,21.0,18.0,18.0,23.0,16.0,16.0,15.0,20.0,20.0,19.0,27
157,22.0,15.0,15.0,18.0,21.0,18.0,17.0,23.0,15.0,16.0,15.0,20.0,20.0,19.0,27
158,22.0,14.0,15.0,18.0,21.0,18.0,17.0,22.0,15.0,16.0,15.0,19.0,19.0,17.0,26
159,22.0,14.0,15.0,17.0,21.0,18.0,16.0,22.0,15.0,16.0,14.0,18.0,18.0,17.0,25
160,21.0,14.0,14.0,17.0,21.0,18.0,16.0,21.0,15.0,16.0,14.0,18.0,18.0,17.0,25
161,21.0,14.0,13.0,16.0,21.0,18.0,16.0,21.0,15.0,16.0,14.0,18.0,18.0,17.0,25
162,21.0,14.0,13.0,16.0,21.0,18.0,16.0,21.0,15.0,16.0,14.0,18.0,18.0,17.0,25
163,21.0,14.0,12.0,16.0,21.0,18.0,16.0,19.0,15.0,16.0,14.0,17.0,18.0,17.0,25
164,21.0,14.0,11.0,16.0,21.0,18.0,16.0,19.0,15.0,16.0,13.0,17.0,18.0,17.0,25
165,21.0,13.0,11.0,16.0,20.0,18.0,16.0,19.0,15.0,16.0,12.0,14.0,17.0,17.0,25
166,20.0,12.0,11.0,15.0,19.0,18.0,16.0,19.0,14.0,16.0,11.0,14.0,17.0,17.0,25
167,19.0,12.0,11.0,15.0,19.0,18.0,16.0,18.0,14.0,16.0,11.0,14.0,16.0,17.0,25
168,19.0,11.0,11.0,14.0,19.0,18.0,16.0,17.0,14.0,16.0,10.0,14.0,16.0,17.0,25
169,19.0,11.0,11.0,14.0,17.0,18.0,16.0,16.0,14.0,15.0,10.0,14.0,16.0,17.0,25
170,19.0,11.0,11.0,14.0,16.0,18.0,16.0,16.0,13.0,14.0,9.0,13.0,15.0,17.0,25
171,19.0,11.0,11.0,13.0,15.0,18.0,16.0,16.0,12.0,14.0,9.0,13.0,15.0,17.0,25
172,19.0,11.0,11.0,13.0,14.0,17.0,16.0,16.0,12.0,14.0,9.0,13.0,14.0,16.0,25
173,19.0,11.0,11.0,12.0,14.0,17.0,16.0,15.0,12.0,14.0,6.0,12.0,14.0,15.0,23
174,19.0,11.0,11.0,12.0,14.0,17.0,16.0,15.0,11.0,14.0,4.0,12.0,14.0,15.0,23
175,19.0,11.0,11.0,12.0,14.0,16.0,16.0,15.0,11.0,14.0,2.0,12.0,14.0,15.0,23
176,19.0,10.0,10.0,12.0,14.0,15.0,16.0,15.0,11.0,14.0,0.0,11.0,14.0,14.0,23
177,19.0,10.0,10.0,12.0,14.0,15.0,16.0,14.0,11.0,14.0,,11.0,14.0,14.0,23
178,19.0,10.0,9.0,12.0,14.0,14.0,16.0,14.0,11.0,14.0,,10.0,14.0,14.0,23
179,18.0,10.0,9.0,12.0,14.0,14.0,16.0,12.0,10.0,14.0,,10.0,14.0,14.0,23
180,16.0,10.0,9.0,12.0,14.0,14.0,16.0,12.0,10.0,14.0,,9.0,14.0,14.0,22
181,16.0,10.0,8.0,12.0,14.0,12.0,16.0,11.0,10.0,13.0,,9.0,14.0,14.0,22
182,15.0,10.0,8.0,12.0,13.0,10.0,15.0,11.0,10.0,13.0,,9.0,14.0,12.0,21
183,15.0,10.0,7.0,12.0,13.0,10.0,15.0,11.0,10.0,13.0,,9.0,14.0,12.0,21
184,14.0,10.0,7.0,12.0,13.0,10.0,15.0,11.0,10.0,13.0,,8.0,14.0,12.0,21
185,14.0,9.0,7.0,12.0,13.0,10.0,15.0,11.0,10.0,13.0,,7.0,13.0,12.0,21
186,14.0,8.0,7.0,12.0,13.0,10.0,15.0,11.0,9.0,13.0,,7.0,13.0,12.0,20
187,14.0,8.0,7.0,12.0,13.0,10.0,15.0,10.0,9.0,13.0,,7.0,12.0,12.0,20
188,14.0,8.0,7.0,12.0,13.0,10.0,15.0,10.0,8.0,13.0,,7.0,12.0,12.0,20
189,12.0,8.0,5.0,11.0,13.0,10.0,15.0,10.0,8.0,13.0,,7.0,11.0,12.0,19
190,12.0,8.0,5.0,11.0,13.0,10.0,15.0,10.0,8.0,12.0,,6.0,11.0,10.0,19
191,12.0,8.0,3.0,9.0,13.0,10.0,15.0,9.0,8.0,12.0,,6.0,11.0,10.0,18
192,12.0,8.0,0.0,9.0,13.0,10.0,15.0,8.0,8.0,12.0,,5.0,11.0,10.0,18
193,12.0,7.0,,9.0,13.0,10.0,15.0,8.0,8.0,11.0,,5.0,11.0,10.0,18
194,12.0,7.0,,9.0,13.0,10.0,15.0,8.0,8.0,11.0,,5.0,11.0,10.0,17
195,12.0,7.0,,9.0,13.0,10.0,15.0,8.0,8.0,11.0,,4.0,11.0,9.0,17
196,12.0,7.0,,9.0,13.0,10.0,15.0,8.0,7.0,10.0,,1.0,11.0,9.0,17
197,12.0,7.0,,9.0,13.0,10.0,15.0,8.0,7.0,10.0,,1.0,11.0,9.0,16
198,12.0,7.0,,8.0,13.0,10.0,15.0,8.0,7.0,10.0,,1.0,11.0,9.0,15
199,12.0,7.0,,8.0,13.0,10.0,14.0,8.0,7.0,9.0,,0.0,11.0,9.0,15
200,11.0,7.0,,8.0,13.0,10.0,14.0,8.0,7.0,9.0,,,11.0,9.0,15
201,11.0,7.0,,8.0,13.0,10.0,14.0,7.0,7.0,9.0,,,10.0,9.0,15
202,11.0,7.0,,8.0,12.0,10.0,14.0,7.0,7.0,9.0,,,10.0,9.0,15
203,11.0,7.0,,8.0,12.0,9.0,14.0,4.0,7.0,8.0,,,10.0,9.0,14
204,11.0,7.0,,8.0,12.0,9.0,14.0,0.0,6.0,8.0,,,10.0,7.0,14
205,11.0,7.0,,8.0,11.0,7.0,14.0,,6.0,8.0,,,10.0,7.0,14
206,11.0,6.0,,8.0,11.0,7.0,14.0,,6.0,8.0,,,9.0,7.0,14
207,10.0,6.0,,8.0,11.0,7.0,14.0,,6.0,8.0,,,9.0,7.0,14
208,10.0,6.0,,8.0,9.0,7.0,13.0,,6.0,7.0,,,9.0,7.0,14
209,9.0,6.0,,8.0,9.0,6.0,13.0,,6.0,7.0,,,9.0,7.0,13
210,9.0,6.0,,8.0,8.0,6.0,12.0,,6.0,7.0,,,9.0,7.0,13
211,9.0,6.0,,8.0,7.0,6.0,12.0,,5.0,7.0,,,9.0,7.0,13
212,8.0,6.0,,8.0,6.0,6.0,12.0,,5.0,7.0,,,9.0,7.0,13
213,8.0,6.0,,8.0,6.0,6.0,12.0,,5.0,7.0,,,9.0,5.0,13
214,7.0,5.0,,8.0,2.0,6.0,12.0,,5.0,7.0,,,9.0,4.0,13
215,7.0,3.0,,8.0,0.0,6.0,12.0,,5.0,7.0,,,9.0,4.0,13
216,7.0,1.0,,8.0,,6.0,11.0,,5.0,7.0,,,8.0,2.0,13
217,7.0,1.0,,8.0,,6.0,11.0,,2.0,7.0,,,8.0,0.0,12
218,7.0,1.0,,7.0,,6.0,11.0,,0.0,7.0,,,8.0,,12
219,7.0,0.0,,7.0,,6.0,11.0,,,7.0,,,8.0,,12
220,7.0,,,7.0,,6.0,10.0,,,7.0,,,8.0,,12
221,7.0,,,7.0,,5.0,10.0,,,7.0,,,8.0,,12
222,7.0,,,7.0,,4.0,10.0,,,7.0,,,8.0,,12
223,7.0,,,7.0,,3.0,10.0,,,7.0,,,8.0,,12
224,6.0,,,7.0,,0.0,8.0,,,7.0,,,8.0,,12
225,4.0,,,5.0,,,7.0,,,7.0,,,8.0,,11
226,2.0,,,4.0,,,7.0,,,6.0,,,8.0,,11
227,0.0,,,2.0,,,7.0,,,5.0,,,7.0,,11
228,,,,2.0,,,6.0,,,3.0,,,4.0,,11
229,,,,2.0,,,5.0,,,2.0,,,2.0,,11
230,,,,2.0,,,1.0,,,0.0,,,1.0,,11
231,,,,0.0,,,0.0,,,,,,0.0,,10
232,,,,,,,,,,,,,,,10
233,,,,,,,,,,,,,,,10
234,,,,,,,,,,,,,,,9
235,,,,,,,,,,,,,,,9
236,,,,,,,,,,,,,,,9
237,,,,,,,,,,,,,,,9
238,,,,,,,,,,,,,,,9
239,,,,,,,,,,,,,,,9
240,,,,,,,,,,,,,,,9
241,,,,,,,,,,,,,,,9
242,,,,,,,,,,,,,,,9
243,,,,,,,,,,,,,,,8
244,,,,,,,,,,,,,,,8
245,,,,,,,,,,,,,,,8
246,,,,,,,,,,,,,,,8
247,,,,,,,,,,,,,,,8
248,,,,,,,,,,,,,,,8
