epoch,HEED_trial0,HEED_trial1,HEED_trial2,HEED_trial3,HEED_trial4,HEED_trial5,HEED_trial6,HEED_trial7,HEED_trial8,HEED_trial9,HEED_trial10,HEED_trial11,HEED_trial12,HEED_trial13,HEED_trial14
11,93.75330483082732,92.34931595919066,95.73313383839017,95.07404822901093,94.98984836080878,95.56605338203383,95.87052330246566,96.19616763970694,94.67344807293608,94.59683794147855,94.6483009390047,95.98380539127092,96.65272307180322,95.14122271149273,96.27314188988187
12,93.262857786003,91.7996505750366,95.1946928824442,94.53480260094646,94.46872012167762,95.10824041829667,95.32897308819604,95.6835276568954,94.14255462438318,94.06175876933916,94.10070159591788,95.47921981307177,96.13558351308656,94.61307145095853,95.77606889450456
13,92.75797730478268,91.25987066551251,94.65499621147993,93.98598712825573,93.96952620576634,94.63509150030255,94.80423650246229,95.21023508324514,93.60916964089081,93.57273480385199,93.55796418469927,95.00361823962501,95.62415332204006,94.10278481825642,95.27521490453425
14,92.28603941594508,90.72727597439673,94.1270765615784,93.43313081672652,93.49629652460482,94.1631608507325,94.26375395033952,94.72167004724008,93.05336276697712,93.05979868984289,93.0069842122018,94.50362506504771,95.1132127222911,93.59592719165799,94.74704589004075
15,91.7909880881962,90.1885506663905,93.58766873775316,92.90526008397458,93.01587812265782,93.71097027606625,93.74777773572468,94.22788141852604,92.53604301276579,92.5679805730274,92.46149149705666,94.00830295306861,94.60067741675797,93.11228088180785,94.2440287146173
16,91.31771282837788,89.67641673094072,93.063707450252,92.41642729311323,92.53983521889228,93.27748280068354,93.20798405679453,93.7329583128066,92.00083830030422,92.07840726145973,91.89758675909215,93.51285253676416,94.09531560739356,92.60432309521326,93.7455753046281
17,90.8133521460374,89.1185253000081,92.51860364317045,91.90875734893396,92.06466785356544,92.83263262070886,92.66614214774215,93.26505073524308,91.44927183976642,91.56934474503826,91.32393233477447,93.0200221045904,93.58658563290744,92.09903859047476,93.25563874211021
18,90.33277278406796,88.57700076476148,91.99757649723341,91.39902026831625,91.61302906786842,92.35144240714925,92.13013914399295,92.76320568528861,90.90201326921587,91.09077854175126,90.75628711173178,92.50264382142042,93.07642072260529,91.60030427729777,92.73549546308283
19,89.85619048939971,87.99975949460655,91.45860874423538,90.87135839947737,91.11746337223265,91.8914562664683,91.62333693472385,92.25906993307161,90.3422536495952,90.55111616310103,90.19174456625046,91.97728925655849,92.5665259556304,91.08531805794318,92.2123225392246
20,89.38571533349523,87.42713258083225,90.93708831845018,90.3747868719458,90.62027000553218,91.43377913527314,91.0939402887088,91.76533802210966,89.79590772552129,90.07513838203481,89.61885231662352,91.47122782116541,92.04389909506142,90.57430770267656,91.70071999881979
21,88.90695985439291,86.89191890224227,90.39718170442535,89.8444645036407,90.11971872214326,90.96833819472826,90.58181956635184,91.27937435206661,89.27889175926761,89.54748697223069,89.05171501529978,90.96065468670918,91.53167490802753,90.08681057402598,91.2005176771365
22,88.41887616108498,86.36748120480875,89.88636842548893,89.32306422918691,89.62168516709582,90.54344369299838,90.06659099350618,90.78506236081776,88.71440688256472,89.02303554598436,88.52273013492807,90.47534981960328,91.05561180571866,89.57583628892819,90.69969630158255
23,87.93307418682706,85.83912533713332,89.33589302600521,88.79963223485389,89.13763938796647,90.06684287554894,89.53705337226293,90.24838264644903,88.18570736082812,88.5057068992335,87.96869648026072,89.99752359807026,90.54810284236089,89.1239085684544,90.19322644216341
24,87.42007675271306,85.29416353729574,88.8097230011015,88.2639474342246,88.66104110024652,89.61625040316612,89.00932038404989,89.7462608919776,87.64691787779418,88.01158950540668,87.3999118311983,89.51484386183867,90.05152880577135,88.63775039992396,89.67978015665221
